"pid","hid","age","sex","n.samples","wave","reporting.day","n.contact.total","n.loc.group","n.contact.0-4","n.contact.5-19","n.contact.20-39","n.contact.40-64","n.contact.65+"
242,168,64,"F",1,"R1","Thursday",13,"4",0,0,8,2,3
243,169,23,"M",3,"R1","Thursday",5,"1",0,0,3,2,0
244,169,59,"F",4,"R1","Thursday",5,"1",0,0,4,1,0
245,170,55,"M",2,"R1","Thursday",8,"3",0,0,0,7,1
246,171,61,"F",1,"R1","Thursday",9,"5",0,0,5,4,0
247,172,65,"M",2,"R1","Thursday",2,"0",0,0,1,1,0
248,173,57,"F",3,"R1","Thursday",14,"5",2,1,5,6,0
249,174,49,"M",3,"R1","Thursday",13,"2",0,10,0,3,0
250,174,54,"M",4,"R1","Thursday",8,"1",0,4,1,3,0
251,175,43,"M",3,"R1","Thursday",18,"4",0,0,17,1,0
252,175,71,"M",1,"R1","Thursday",2,"1",0,0,1,0,1
253,176,32,"F",4,"R1","Friday",9,"1",1,2,1,5,0
254,177,58,"F",4,"R1","Friday",7,"2",0,0,6,1,0
255,178,65,"F",4,"R1","Friday",8,"1",1,1,1,3,2
256,179,15,"M",2,"R1","Friday",8,"1",0,6,0,2,0
257,179,61,"F",2,"R1","Friday",2,"0",0,1,0,1,0
258,180,38,"M",4,"R1","Friday",11,"3",1,0,3,7,0
259,181,30,"M",3,"R1","Friday",5,"1",0,0,5,0,0
260,181,33,"F",3,"R1","Friday",13,"2",0,0,10,3,0
261,181,59,"F",1,"R1","Friday",19,"6+",0,0,6,11,2
262,181,60,"M",1,"R1","Friday",10,"2",0,0,5,5,0
263,182,65,"F",1,"R1","Friday",5,"1",0,0,2,2,1
264,182,67,"M",4,"R1","Friday",4,"1",0,0,2,0,2
265,183,56,"F",2,"R1","Friday",7,"5",0,0,3,4,0
266,183,61,"M",4,"R1","Friday",12,"4",0,0,2,10,0
267,183,25,"F",3,"R1","Friday",6,"3",0,0,3,3,0
268,184,75,"F",4,"R1","Friday",4,"1",0,0,1,1,2
269,185,29,"M",1,"R1","Friday",33,"5",0,0,31,2,0
270,185,31,"F",4,"R1","Friday",32,"4",0,1,26,5,0
271,186,37,"F",4,"R1","Friday",9,"2",0,1,3,5,0
272,187,50,"F",3,"R1","Friday",7,"2",0,0,1,6,0
273,187,54,"M",2,"R1","Friday",27,"6+",1,0,14,9,3
274,188,60,"F",2,"R1","Friday",6,"2",0,1,2,3,0
275,189,13,"F",2,"R1","Friday",10,"4",0,8,0,2,0
276,189,46,"F",3,"R1","Friday",8,"2",0,1,4,3,0
277,190,13,"M",4,"R1","Friday",17,"4",0,15,0,2,0
278,190,47,"F",1,"R1","Friday",1,"0",0,1,0,0,0
279,191,31,"F",4,"R1","Friday",6,"3",0,0,5,1,0
280,191,55,"F",4,"R1","Friday",12,"1",0,0,1,1,10
281,192,12,"F",1,"R1","Friday",24,"2",2,6,8,6,2
282,192,40,"M",4,"R1","Friday",9,"2",0,1,7,1,0
283,192,42,"F",2,"R1","Friday",24,"3",3,1,4,14,2
284,193,28,"M",3,"R1","Friday",5,"1",0,3,1,1,0
285,193,59,"F",4,"R1","Friday",4,"1",0,0,4,0,0
286,193,60,"M",4,"R1","Friday",5,"2",0,0,2,2,1
287,194,18,"M",2,"R1","Friday",7,"2",0,1,0,6,0
288,194,25,"M",1,"R1","Friday",5,"2",0,0,5,0,0
289,194,53,"F",4,"R1","Friday",1,"0",0,1,0,0,0
290,195,45,"F",1,"R1","Saturday",8,"2",0,3,1,2,2
291,195,69,"F",1,"R1","Saturday",8,"3",0,0,1,0,7
292,195,74,"M",1,"R1","Saturday",1,"1",0,0,1,0,0
293,196,50,"F",1,"R1","Saturday",7,"4",0,0,3,4,0
294,196,55,"M",4,"R1","Saturday",9,"2",0,0,0,9,0
295,197,56,"M",1,"R1","Saturday",7,"2",0,0,2,3,2
296,198,31,"F",3,"R1","Saturday",8,"0",0,0,4,4,0
297,198,55,"F",3,"R1","Saturday",8,"0",0,0,5,3,0
298,199,63,"F",3,"R1","Saturday",4,"0",0,0,4,0,0
299,200,23,"M",4,"R1","Saturday",10,"1",0,0,9,1,0
300,200,52,"F",4,"R1","Saturday",25,"1",0,2,11,10,2
301,200,55,"M",4,"R1","Saturday",8,"3",0,0,5,3,0
302,201,65,"F",2,"R1","Saturday",4,"0",0,0,0,0,4
303,202,20,"M",2,"R1","Saturday",2,"1",0,0,1,1,0
304,203,7,"F",3,"R1","Saturday",2,"0",0,0,0,2,0
305,203,38,"F",4,"R1","Saturday",6,"4",0,1,2,3,0
306,203,43,"M",1,"R1","Saturday",2,"1",0,1,0,1,0
307,204,43,"F",4,"R1","Saturday",15,"3",0,2,6,5,2
308,204,47,"M",2,"R1","Saturday",12,"2",0,4,5,3,0
309,205,59,"F",1,"R1","Saturday",1,"1",0,0,0,0,1
310,205,68,"M",4,"R1","Saturday",0,NA,0,0,0,0,0
311,206,21,"F",3,"R1","Saturday",18,"3",0,1,13,4,0
312,206,28,"M",1,"R1","Saturday",14,"6+",0,0,5,8,1
313,207,18,"M",2,"R1","Saturday",3,"1",0,0,0,3,0
314,207,53,"M",3,"R1","Saturday",3,"1",0,1,0,2,0
315,208,27,"M",1,"R1","Saturday",10,"4",0,0,6,4,0
316,209,19,"F",2,"R1","Saturday",21,"1",0,7,12,2,0
317,209,50,"F",1,"R1","Saturday",3,"1",0,1,1,1,0
318,210,51,"F",1,"R1","Sunday",25,"5",0,3,4,13,5
319,211,53,"F",2,"R1","Sunday",3,"1",0,2,0,1,0
320,211,54,"M",2,"R1","Sunday",5,"1",0,1,0,4,0
321,212,64,"M",4,"R1","Sunday",4,"0",0,0,1,2,1
322,213,12,"M",3,"R1","Sunday",3,"2",0,1,0,2,0
323,213,50,"F",4,"R1","Sunday",7,"6+",0,2,2,2,1
324,214,40,"F",2,"R1","Sunday",7,"3",0,1,4,1,1
325,214,61,"F",2,"R1","Sunday",3,"1",0,1,1,1,0
326,214,68,"M",1,"R1","Sunday",26,"1",0,1,2,13,10
327,215,24,"M",4,"R1","Sunday",5,"2",0,0,1,4,0
328,215,55,"F",2,"R1","Sunday",156,"3",0,0,52,104,0
329,215,56,"M",3,"R1","Sunday",112,"3",0,0,1,92,19
330,216,23,"F",4,"R1","Sunday",4,"1",0,0,2,2,0
331,216,50,"F",4,"R1","Sunday",7,"2",0,0,5,2,0
332,216,60,"M",2,"R1","Sunday",3,"2",0,0,1,2,0
333,217,22,"M",2,"R1","Sunday",4,"0",0,0,2,2,0
334,217,58,"F",3,"R1","Sunday",4,"2",0,0,1,3,0
335,217,59,"M",4,"R1","Sunday",4,"1",0,0,1,3,0
336,218,45,"F",3,"R1","Sunday",12,"6+",0,3,8,0,1
337,219,30,"M",3,"R1","Sunday",3,"1",0,0,2,1,0
338,220,NA,"M",2,"R1","Sunday",1,"0",0,0,1,0,0
339,221,25,"M",3,"R1","Sunday",5,"2",0,0,5,0,0
340,222,54,"F",1,"R1","Sunday",3,"2",0,0,2,1,0
341,223,78,"F",4,"R1","Sunday",1,"0",0,0,0,0,1
342,224,34,"F",2,"R1","Sunday",7,"3",2,1,3,1,0
343,224,37,"M",1,"R1","Sunday",9,"6+",2,1,5,1,0
344,225,13,"M",2,"R1","Sunday",20,"3",0,9,0,10,1
345,225,16,"M",4,"R1","Sunday",20,"3",0,9,0,10,1
346,225,47,"F",2,"R1","Sunday",21,"4",0,10,1,9,1
347,225,49,"M",3,"R1","Sunday",20,"1",0,9,3,7,1
348,226,63,"F",3,"R1","Sunday",1,"0",0,0,0,0,1
349,227,44,"F",2,"R1","Monday",2,"1",0,1,1,0,0
350,228,49,"F",3,"R1","Monday",9,"2",0,0,5,4,0
351,229,74,"F",2,"R1","Monday",1,"0",0,0,0,0,1
352,230,57,"F",1,"R1","Monday",2,"0",0,0,1,0,1
353,231,64,"F",4,"R1","Monday",6,"1",0,0,5,0,1
354,232,81,"M",4,"R1","Monday",0,NA,0,0,0,0,0
355,233,27,"M",2,"R1","Monday",15,"2",0,0,13,2,0
356,234,28,"F",4,"R1","Monday",17,"3",0,0,15,2,0
357,234,30,"F",2,"R1","Monday",16,"2",0,0,9,7,0
358,234,53,"F",4,"R1","Monday",16,"3",0,0,14,2,0
359,234,56,"M",1,"R1","Monday",4,"1",0,0,3,1,0
360,235,52,"F",3,"R1","Monday",17,"3",1,0,2,10,4
361,235,57,"M",1,"R1","Monday",9,"1",1,0,2,3,3
362,236,64,"F",1,"R1","Monday",15,"3",1,1,7,4,2
363,237,52,"F",2,"R1","Monday",11,"1",0,0,2,9,0
364,238,49,"F",2,"R1","Monday",11,"6+",0,2,3,5,1
365,239,23,"F",3,"R1","Monday",34,"3",0,19,4,11,0
366,239,54,"F",3,"R1","Monday",52,"4",0,0,11,31,10
367,239,59,"M",4,"R1","Monday",11,"5",0,1,7,3,0
368,240,45,"F",4,"R1","Monday",3,"0",0,0,3,0,0
369,241,41,"F",1,"R1","Monday",1,"0",0,0,0,0,1
370,242,43,"F",4,"R1","Monday",7,"2",0,1,2,4,0
371,243,30,"F",4,"R1","Monday",4,"3",0,0,1,3,0
372,243,51,"F",1,"R1","Monday",9,"4",0,0,6,3,0
373,244,72,"F",1,"R1","Monday",3,"2",0,1,0,1,1
374,244,75,"M",2,"R1","Monday",3,"3",0,1,0,1,1
375,245,53,"F",1,"R1","Monday",16,"5",0,0,5,9,2
376,246,49,"M",2,"R1","Monday",20,"4",0,1,3,15,1
377,247,14,"F",3,"R1","Monday",10,"1",0,8,0,2,0
378,247,50,"F",1,"R1","Monday",5,"1",0,1,0,4,0
379,247,63,"M",2,"R1","Monday",3,"1",0,1,1,1,0
380,248,20,"M",3,"R1","Monday",8,"2",0,4,1,3,0
381,248,50,"F",2,"R1","Monday",15,"5",0,1,4,10,0
382,249,71,"F",4,"R1","Tuesday",5,"2",0,0,0,4,1
383,250,39,"F",2,"R1","Tuesday",9,"2",0,1,5,3,0
384,251,52,"F",3,"R1","Tuesday",5,"1",0,0,0,4,1
385,251,55,"F",2,"R1","Tuesday",18,"3",0,0,8,9,1
386,252,44,"F",1,"R1","Tuesday",4,"2",0,0,1,3,0
387,253,64,"F",1,"R1","Tuesday",2,"1",0,0,0,1,1
388,254,76,"F",2,"R1","Tuesday",1,"0",0,0,1,0,0
389,255,62,"F",4,"R1","Tuesday",11,"4",1,0,7,3,0
390,255,64,"M",4,"R1","Tuesday",19,"5",1,1,14,2,1
391,256,70,"F",1,"R1","Tuesday",3,"0",1,0,1,1,0
392,257,46,"M",4,"R1","Tuesday",4,"1",1,2,0,1,0
393,258,11,"M",2,"R1","Tuesday",4,"2",0,3,0,1,0
394,258,62,"F",3,"R1","Tuesday",8,"1",0,1,0,6,1
395,259,19,"F",1,"R1","Tuesday",24,"2",0,15,2,7,0
